"Original","Bytes","SHA256","Atual"
"levantamento\adicional\frames\AD-0482.jpg","80929","65A7EB17FDA72D9F29C294C2EA9D06D51A215D355E5F3A5F0989611D6A13F741","04_Levantamento\levantamento\adicional\frames\AD-0482.jpg"
"levantamento\adicional\frames\AD-0486.jpg","53243","97D95C4787C1B5A3186A0D98BEB55C428849CDAD62BAFF33DDBADD5E17B26989","04_Levantamento\levantamento\adicional\frames\AD-0486.jpg"
"levantamento\adicional\frames\AD-0502.jpg","72638","0D844B2E662C4D778065F276DC0A9966DF340BDB2ADCEFA33201CA2B4B1C5E2D","04_Levantamento\levantamento\adicional\frames\AD-0502.jpg"
"levantamento\adicional\frames\AD-0506.jpg","81844","F23FB9A5E0F6050F0A8CB1FC072B1278447F6F6CB4FD5E0DEC86422128F381F6","04_Levantamento\levantamento\adicional\frames\AD-0506.jpg"
"levantamento\adicional\frames\AD-0514.jpg","153805","B0A0EFFA163BA4B5745931E00965B7E308E32358EED40F42ADDB14550D26E064","04_Levantamento\levantamento\adicional\frames\AD-0514.jpg"
"levantamento\adicional\frames\AD-0518.jpg","135443","756E57F9FEBA826939A85FA4B295FB5F46E731295E66AC0710D8A63D3B684EAD","04_Levantamento\levantamento\adicional\frames\AD-0518.jpg"
"levantamento\adicional\frames\AD-0538.jpg","47347","AE02FD4A99799251DA62385FCF87B048162408DBF653B3AF8E80C48017AF7812","04_Levantamento\levantamento\adicional\frames\AD-0538.jpg"
"levantamento\adicional\frames\AD-0554.jpg","54676","3C3F51BF39762DA9C88E93C8B0D4EDE8077B2BA7820D7B9442452724BB8354F4","04_Levantamento\levantamento\adicional\frames\AD-0554.jpg"
"levantamento\adicional\frames\AD-0562.jpg","71010","F193244C9087E6D062DBB96CDCF64C6262D576F0AD76D547861A82BD12FFF687","04_Levantamento\levantamento\adicional\frames\AD-0562.jpg"
"levantamento\adicional\frames\AD-0566.jpg","59428","1D05B949B4A2A33670639C557C2A33EA4CB2AB5D1E46F35937E23A54648E0957","04_Levantamento\levantamento\adicional\frames\AD-0566.jpg"
"levantamento\adicional\frames\AD-0574.jpg","20908","CE5FBB828C7B7B4126F95D16CEC42B3DE0A5DB5E16CE8444222FDD45E5CFF7AE","04_Levantamento\levantamento\adicional\frames\AD-0574.jpg"
"levantamento\adicional\frames\AD-0578.jpg","38082","1D66BE57D78048A8132E62683FA03743F9D1DD65D2B515E442802280C0974553","04_Levantamento\levantamento\adicional\frames\AD-0578.jpg"
"levantamento\adicional\frames\AD-0602.jpg","53608","D6CC089E57A3A9851157833DC8F6D032B01AE5A70E99415D0A157B80C4D3562C","04_Levantamento\levantamento\adicional\frames\AD-0602.jpg"
"levantamento\adicional\frames\AD-0610.jpg","167114","389F764036F10CE396459D0F34E26C65BF6D3BC63E05FD67F4F8148431D8D9AC","04_Levantamento\levantamento\adicional\frames\AD-0610.jpg"
"levantamento\adicional\frames\AD-0618.jpg","165920","41241911761B5D38644FE662663E191FB8F0B2B8FB7861A3AA367799CD9B6571","04_Levantamento\levantamento\adicional\frames\AD-0618.jpg"
"levantamento\adicional\frames\AD-0626.jpg","52564","0DF4B55725BDBC071CDDDD11A7FDB4EA22F17F2D79BDE3C0338BC8D404708D01","04_Levantamento\levantamento\adicional\frames\AD-0626.jpg"
"levantamento\adicional\frames\AD-0634.jpg","45074","DBE5F0696B0FD3D9DA3CEC1460B873BEE88E2BB9E3EA1DCB0288BAAF9BE9D0EA","04_Levantamento\levantamento\adicional\frames\AD-0634.jpg"
"levantamento\adicional\frames\AD-0650.jpg","40640","0F447DB430E85924A57E8921E09EEF1C4C782A71849D1070F18C4EF9EC1581F5","04_Levantamento\levantamento\adicional\frames\AD-0650.jpg"
"levantamento\adicional\frames\AD-0658.jpg","48676","DFFA03EC830FE9D2523F441DDDCB1DD6DA41121419C24F9E2C4833A7DFB5C1C5","04_Levantamento\levantamento\adicional\frames\AD-0658.jpg"
"levantamento\adicional\frames\AD-0662.jpg","66597","5FF9945E6E9829EC04B8BAB91F671C8E26081429B588119A7EE4814EEA1F3109","04_Levantamento\levantamento\adicional\frames\AD-0662.jpg"
"levantamento\adicional\frames\AD-0698.jpg","17760","BA1790913EDC2FCB403C37648A0842FA0412464F311D2172E0E64191CEC14A91","04_Levantamento\levantamento\adicional\frames\AD-0698.jpg"
"levantamento\adicional\frames\AD-0702.jpg","25388","C1E5291CC52C27537A676E2B65DD0E228558A5E77E158CC8422E45932C293DE3","04_Levantamento\levantamento\adicional\frames\AD-0702.jpg"
"levantamento\adicional\frames\AD-0706.jpg","29061","3947D657569714DE503E4A22805B98F42A4F7DECCD3FE7EA3596E6A50BCD3046","04_Levantamento\levantamento\adicional\frames\AD-0706.jpg"
"levantamento\adicional\frames\AD-0714.jpg","57730","034A675FF981DC30DF5D6DD0AD4EE338AA68710A785C26AE67A52AD2D9E3156B","04_Levantamento\levantamento\adicional\frames\AD-0714.jpg"
"levantamento\adicional\frames\AD-0718.jpg","133838","4CA3A02BE5E5FB923C6F6D79A5756FF6C2250AF4F0EED730144AE3482371A917","04_Levantamento\levantamento\adicional\frames\AD-0718.jpg"
"levantamento\adicional\frames\AD-0722.jpg","217194","6041D60625CC248CE9612E75C254C5F7585BE0CF6CC39CEAF3A0B60E0938FC78","04_Levantamento\levantamento\adicional\frames\AD-0722.jpg"
"levantamento\adicional\frames\AD-0730.jpg","42712","8129E5D2C5DB1B2C2542F73BD048D23FBBF39C4B0ADE1611E0B4B571B9FAE4E8","04_Levantamento\levantamento\adicional\frames\AD-0730.jpg"
"levantamento\adicional\frames\AD-0734.jpg","37748","5663667AF5264B7FB8B0A43224486AAF90346C8EA1487517931717716B3A1262","04_Levantamento\levantamento\adicional\frames\AD-0734.jpg"
"levantamento\adicional\frames\AD-0750.jpg","61923","CDE042FA26AFAF10DB9FF168DE258F33E707E30728E024902D6DE88B23B6CAA4","04_Levantamento\levantamento\adicional\frames\AD-0750.jpg"
"levantamento\adicional\frames\AD-0754.jpg","59479","FBC4E5F7FF29704C74D1B4666BB4C7AED01043BABA637C108F445F5F8CDF6FBB","04_Levantamento\levantamento\adicional\frames\AD-0754.jpg"
"levantamento\adicional\percurso\percurso_1.jpg","186646","CE9F604164232BAED13BEE54AE9AD2358EBCCCC97E5521BE7C00D9DCAC33EFE3","04_Levantamento\levantamento\adicional\percurso\percurso_1.jpg"
"levantamento\adicional\percurso\percurso_2.jpg","159466","B3332D7E4E79E835799E1BB21C2E236F8D5540C0720F32BF677DA22D64B2EC5E","04_Levantamento\levantamento\adicional\percurso\percurso_2.jpg"
"levantamento\adicional\percurso\percurso_3.jpg","97308","422FB39A58218F13FAAFE6136C244EEB9556E8A48FADAB04801673710884B651","04_Levantamento\levantamento\adicional\percurso\percurso_3.jpg"
"levantamento\adicional\percurso\t561.jpg","8529","F4F84C94024246BAC1C992EF7ED1671C9505E9C4400CF16B6780270DE1F8C3F9","04_Levantamento\levantamento\adicional\percurso\t561.jpg"
"levantamento\adicional\percurso\t562.jpg","9673","191151FC06D81B05C0236CABEAC6B9E28A2FF7DA05096A43F14259CF92FF32E3","04_Levantamento\levantamento\adicional\percurso\t562.jpg"
"levantamento\adicional\percurso\t563.jpg","4572","BED4E418FE1CCC3650761A5F95C046DAC23324EEE5185D06D0C3130A85EB29BD","04_Levantamento\levantamento\adicional\percurso\t563.jpg"
"levantamento\adicional\percurso\t564.jpg","7925","0E349A1A42EC194ED746F07B005F590422DB5D13943F53F7F7B90D36F2B038E7","04_Levantamento\levantamento\adicional\percurso\t564.jpg"
"levantamento\adicional\percurso\t565.jpg","7452","55C9614E4A02FA98AC0E737C3F3C4B95BF51CD230BEE2156AB26914D7A60FDB2","04_Levantamento\levantamento\adicional\percurso\t565.jpg"
"levantamento\adicional\percurso\t566.jpg","7130","AED158B69AFA1D5A3691BABD8E4CD35B830C7204085244926EB56B3CEDB67E7E","04_Levantamento\levantamento\adicional\percurso\t566.jpg"
"levantamento\adicional\percurso\t567.jpg","8833","B0F7E9A5446472C7099E9CBCB8A8ECBFEFEAC9276B84D4AEF303F7C31BA757CC","04_Levantamento\levantamento\adicional\percurso\t567.jpg"
"levantamento\adicional\percurso\t568.jpg","7683","9B9AD9E9905718D1069336D0555F16FCD00269478E58AD1A0D16C149A3485F0B","04_Levantamento\levantamento\adicional\percurso\t568.jpg"
"levantamento\adicional\percurso\t569.jpg","6974","2A1DF755FDFF6C2B60191EF22EE0DABF104D1FFDF7AA9720765770158DDDD59D","04_Levantamento\levantamento\adicional\percurso\t569.jpg"
"levantamento\adicional\percurso\t623.jpg","25426","731D198DFA644DE51DA6BDA684652CD5B37F83EC37F6A7466260FCE833D7A035","04_Levantamento\levantamento\adicional\percurso\t623.jpg"
"levantamento\adicional\percurso\t624.jpg","20981","698B8202E0E951F0E3C1303055A1735042A1F7AB0DECAA969B08D160E63937A3","04_Levantamento\levantamento\adicional\percurso\t624.jpg"
"levantamento\adicional\percurso\t625.jpg","2886","E52348FA46281D2AC117C3245EB117B3BD52FDBBE8723A0F95258A125BEF79D1","04_Levantamento\levantamento\adicional\percurso\t625.jpg"
"levantamento\adicional\percurso\t626.jpg","6417","E187939699A2C1F3A219DE074ABB555F655ADD27B7F3CD28EFDDBFEFEF17845E","04_Levantamento\levantamento\adicional\percurso\t626.jpg"
"levantamento\adicional\percurso\t627.jpg","3354","58C0A0F8AAF2F9EC78ED8B28A23927AA8417A8D396082BC6131B5F9572538E2F","04_Levantamento\levantamento\adicional\percurso\t627.jpg"
"levantamento\adicional\percurso\t628.jpg","5932","19284AA08006C541C6760D766EF4438B1223254B0ACE2C7E37435B3ECFC92B87","04_Levantamento\levantamento\adicional\percurso\t628.jpg"
"levantamento\adicional\percurso\t629.jpg","7446","4C964DB5B0B3F4EF36B51F042CABDA0EA9C8280C9D85A95D8A546391D8C573CB","04_Levantamento\levantamento\adicional\percurso\t629.jpg"
"levantamento\adicional\percurso\t630.jpg","4095","91F2753D8DEC81DAD0928357B242E75CF8A4B119309A353BC1C94271E22FA6CB","04_Levantamento\levantamento\adicional\percurso\t630.jpg"
"levantamento\adicional\percurso\t631.jpg","3958","3A2F67BCF481F0654E7087CF2C55C1CAF0BF5B8E119623A96AB330E67767CAD5","04_Levantamento\levantamento\adicional\percurso\t631.jpg"
"levantamento\adicional\percurso\t632.jpg","4732","B7604A7BECF71BFAE71813B61F33ED138D89950DF1A6B14FF73460C193A65371","04_Levantamento\levantamento\adicional\percurso\t632.jpg"
"levantamento\adicional\percurso\t648.jpg","9064","9BC0F67BE9A8E81577B0205B39317121CF829AB159526F94E0ECF6AFBB3801B2","04_Levantamento\levantamento\adicional\percurso\t648.jpg"
"levantamento\adicional\percurso\t649.jpg","5721","82517ED6C5365C9BA5F187346FF724E5BB20D1A69CFCCF8EF029B6086C1251F4","04_Levantamento\levantamento\adicional\percurso\t649.jpg"
"levantamento\adicional\percurso\t650.jpg","5219","C5055DE08F3436635FFAA175A7615494C34DE16CA8AFC7C2034B495615A6D059","04_Levantamento\levantamento\adicional\percurso\t650.jpg"
"levantamento\adicional\percurso\t651.jpg","3985","02399596DA1C7EB11FE8D9E776E15F14D5C9F579AFEB6154B0F70425EE774CF7","04_Levantamento\levantamento\adicional\percurso\t651.jpg"
"levantamento\adicional\percurso\t652.jpg","6990","8422E95DAD53A8647F7875DE0269B5D1A67AA76CEAD3B17193A94D57204AAFBA","04_Levantamento\levantamento\adicional\percurso\t652.jpg"
"levantamento\adicional\percurso\t653.jpg","7001","93033FC412A4646334304378E1BC793BA7996E47A56FDA174C63005B0FC9ABD1","04_Levantamento\levantamento\adicional\percurso\t653.jpg"
"levantamento\adicional\percurso\t654.jpg","6683","9B8497EE949DCE0D47432F4AFE96974FA20474C6D07344C1E9A5156C1F68B2E0","04_Levantamento\levantamento\adicional\percurso\t654.jpg"
"levantamento\adicional\percurso\t655.jpg","4257","EE9BBFB1BC1F16CFEC4BFC31BA6B0CE1CC3010994A1A2290B83CFB9BCBEE709C","04_Levantamento\levantamento\adicional\percurso\t655.jpg"
"levantamento\adicional\percurso\t656.jpg","4515","106A3B518686CA81AEF3867EC6CCFC3B9C0C2C5D12F98E76E6A288719B71E559","04_Levantamento\levantamento\adicional\percurso\t656.jpg"
"levantamento\adicional\percurso\t657.jpg","5902","EF3015D6FC12D8016BD9298633CA6EEF9D187DD9891667BC9EE03C1D367FD7CB","04_Levantamento\levantamento\adicional\percurso\t657.jpg"
"levantamento\adicional\percurso\t658.jpg","6395","8271C906CF89FA1383AD6B2D7FE0875B4905153B28117C65D2198A0126CD5905","04_Levantamento\levantamento\adicional\percurso\t658.jpg"
"levantamento\adicional\percurso\t659.jpg","6443","136004260B5ADBD8182E6575A46B59A5C9EC142E46479BA845001BFB4450E791","04_Levantamento\levantamento\adicional\percurso\t659.jpg"
"levantamento\adicional\percurso\t660.jpg","6578","2C00E9269E3FEC2566CC02F5F4EB6EB9359BB1B7C4FF56432DC2290656D87CB9","04_Levantamento\levantamento\adicional\percurso\t660.jpg"
"levantamento\adicional\percurso\t661.jpg","8772","642BF4750BBE5DA2C5071D3B0A2CBC867735CBB47B4333F99A26EA0225838AD6","04_Levantamento\levantamento\adicional\percurso\t661.jpg"
"levantamento\adicional\percurso\t662.jpg","8978","0729F212D7C1304067A8AE2F2C5D856E19036098C28C5AB37074677E91EB6680","04_Levantamento\levantamento\adicional\percurso\t662.jpg"
"levantamento\adicional\percurso\t663.jpg","7976","B89432D13F6FCF1BE2461F17A09983706589420AA3BAE037E2A420C9965021DE","04_Levantamento\levantamento\adicional\percurso\t663.jpg"
"levantamento\adicional\percurso\t664.jpg","8129","1E10F9682C2A1F92D2893BA76BAD4CE9CFBB18CBFA0FAB761002D173FF12F932","04_Levantamento\levantamento\adicional\percurso\t664.jpg"
"levantamento\adicional\percurso\t665.jpg","8401","AAF03D7A5070085618EF180EA89A7D1CC48C17FF50EAE679146013C49AA86C69","04_Levantamento\levantamento\adicional\percurso\t665.jpg"
"levantamento\adicional\percurso\t744.jpg","3109","56B6983BDA27F6E2AAD886C622540A623BF16B5454EA6AF975A1E437EA6EBD9B","04_Levantamento\levantamento\adicional\percurso\t744.jpg"
"levantamento\adicional\percurso\t745.jpg","5017","B4F6CAF676A4B2E4B927A0EA97CE99EA985D460045A2E28024E82A2E09B6DB4B","04_Levantamento\levantamento\adicional\percurso\t745.jpg"
"levantamento\adicional\percurso\t746.jpg","5580","DABF0CA7A0F9B8AE2E73C5B8D1A036801189F37950EC2798EAAC6AA064A3524E","04_Levantamento\levantamento\adicional\percurso\t746.jpg"
